"location","count","latitude","longitude"
5243220,2,55.88333,26.53333
5476370,4,38.96885,-112.32355
5495814,1,40.89541,12.95889
5207479,1,47.44732,-122.45985
5196538,1,31.8276,-107.64002
5248732,2,32.63235,-87.31917
5215181,2,35.67801,-119.22927
5587771,2,10.82327,106.62978
5213179,22,41.01384,28.94966
5507783,1,47.30016,-117.97551
5220531,10,42.28254,-83.1752
5224510,6,-38.65333,178.00417
5189946,10,30.77436,-85.22687
5502366,1,37.12474,-8.51915
5205673,30,31.12406,-97.90308
5234948,1,-25.33177,31.01166
5241146,2,25,45
5277209,4,41.24508,-75.93075
5188399,864,45.52345,-122.67621
5235088,1,37.23775,-96.83749
5445070,1,40.26625,-123.87031
5280228,2,32.39681,-97.3239
5433757,1,38.46038,-81.08511
5252856,3,43.27008,-71.96008
6103232,2,38.25445,-104.60914
5216279,26,33.39422,-110.7865
5189063,639,29.42412,-98.49363
5241098,1,-34.83826,-64.58686
5272000,5,43.19194,-89.45567
5371096,5,44.25274,-91.50154
5499654,2,43.1725,16.44278
5236962,1,-41.28664,174.77557
5256810,10,36.94845,-81.08481
5538659,1,40.65362,-97.28616
5227651,1,50.38565,7.38365
5271767,5,29.82022,-94.38408
5221281,6,39.95872,-75.91939
5205924,16,40.58145,-79.56643
5490279,1,24.38044,91.41299
5238445,15,22.56263,88.36304
5265683,3,34.02928,-94.7391
5275693,12,34.82399,-89.9937
5227804,1,-34.37386,137.67333
5529053,2,39.88645,-83.44825
5190456,1,35.00815,-90.78983
5200125,1,30.33218,-81.65565
5273957,6,31.98293,-98.03365
5298898,5,48.46427,-122.23404
5255228,23,39.71734,-74.96933
5450026,1,45.60936,7.74491
6103275,1,39.725,-95.50581
5220310,6,35.70508,-89.96953
5191549,6,43.3813,-112.12331
5475637,2,41.94394,-85.63249
5205880,66,38.23242,-122.63665
5434368,2,33.3256,-112.76406
5504811,1,46.26638,-106.67781
5422184,2,38.53672,-84.84338
5390807,2,36.23618,-90.05565
5229993,13,40.83728,-81.25955
5271111,5,27.9378,-82.28592
5390797,5,44.63895,-70.01561
5492132,2,36.33535,-93.43602
5587487,1,37.53144,-89.25342
5234876,1,53.17,6.25694
5378061,1,41.18976,-88.56951
5197244,17,43.17753,-83.73413
5401636,9,33.16262,-96.93751
5214416,76,37.54827,-121.98857
5206589,35,38.02798,-121.88468
6103036,1,34.54426,-91.96903
5293113,5,42.70048,-74.92426
5510455,1,19.23496,72.85976
5233344,3,63.43049,10.39506
5516999,1,32.54875,-96.85667
5218508,6,40.17365,-85.49414
5230525,9,35.13924,-97.39475
5483053,2,42.62751,-89.25317
5394432,6,36.76039,-81.8629
5240566,1,40.71427,-74.00597
5235650,1,-37.85,145.15
5230916,8,36.51543,-4.88583
5233623,5,42.41058,-88.02619
5195592,33,47.64454,-122.69487
5404589,2,44.00013,-120.50139
5442849,4,38.25742,-120.41964
6102956,5,34.1001,-96.79389
5203686,31,35.75118,-86.93
5230808,16,30.7438,-98.05558
5383516,2,34.07899,-87.21223
5475530,3,12.52398,-70.02703
5297929,9,39.46975,-0.37739
5231597,3,33.75378,-79.44756
5605052,1,42.26121,-71.4634
5486742,2,37.33151,-80.81119
5238489,3,31.44815,-109.92841
5528009,1,54.6425,-3.54413
5224947,1,51.4463,6.63963
5602393,1,42.6,-7.46667
5533576,1,18.026,-63.04582
5195877,1,-35.27826,138.45802
5498092,1,45.95008,-74.13251
5526188,1,40.77427,-73.96981
5265780,2,49.52417,5.89139
5215303,39,43.66294,-116.68736
5249026,1,44.29897,-78.55989
5281684,2,40.46814,-76.93192
5419427,1,42.07111,-91.66684
5213941,14,41.50532,-82.0282
5197269,1,39.29866,-86.65222
5203507,14,26.66729,-81.88009
5188839,15,34.2439,-116.91142
5207868,20,22.07521,-159.31895
5396580,5,44.84645,-69.35866
5221615,14,44.60715,-69.04576
5215352,18,42.37649,-71.23561
5494917,3,42.94785,-74.37041
5237929,2,36.9459,-94.00021
5205954,1,-19.75724,-41.76801
5204487,1,38.29186,-122.45804
5511464,1,45.86821,14.98047
6103686,1,36.302,-88.32671
5422136,2,42.10115,-84.5519
5227542,1,-8.37915,-74.55387
5188753,2,38.31727,-88.90312
5415271,1,43.04812,-76.14742
5414003,4,38.73056,-98.22811
5189606,5,30.82074,-88.07056
5211131,1,41.3145,-81.83569
5235932,1,-38.34004,145.05455
5231833,11,35.79733,-82.68403
5371350,4,41.78591,-76.78801
5289574,6,33.10706,-98.5895
5296076,7,39.32702,-81.54846
5213323,2,40.48753,-92.36935
