"location","count","latitude","longitude"
5213187,1,49.50296,0.26516
5372953,2,33.77149,-84.26714
5193479,3,39.71372,-75.60937
5217587,16,42.53574,-113.79279
5190114,142,40.16721,-105.10193
5488910,2,-32.88754,151.40219
5377215,8,36.77579,-121.66967
5189732,22,42.57509,-70.93005
5196437,32,33.93196,-117.94617
5272772,1,43.69054,-89.04845
5235531,29,41.14121,-73.26373
5235469,6,40.14838,-89.36482
5252108,4,11.00555,76.96612
5204494,5,40.36229,-79.47059
6102787,2,41.85003,-87.65005
5302674,15,39.84284,-82.80462
5207052,1,48.36306,4.33278
5270080,2,42.69764,2.89541
5190201,3,32.5012,-106.92807
5261787,1,35.10565,-83.09653
5216888,1,-22.90434,-45.23562
5196840,1,55.75222,37.61556
5276779,3,41.57676,-74.4871
5273285,1,39.00199,-91.23987
5191440,6,42.02665,-96.09724
5213291,2,48.04278,-98.33621
5214055,11,38.45894,-90.53651
5219626,4,32.69755,-113.95354
5197045,10,47.84097,-120.01646
5188470,67,41.76371,-72.68509
5302006,5,46.44763,-120.42034
5212473,22,42.18169,-87.80034
5506801,1,43.7682,4.42849
5281806,1,-9.13833,-77.74361
5266136,1,46.72801,-95.70088
5243315,2,32.76763,-88.65088
5264755,9,41.08871,-74.01347
5288063,4,33.94928,-83.53461
5213970,1,34.91873,-90.13768
5290190,6,33.83704,-86.25442
5293125,3,39.65564,-78.81058
5244053,1,60.1,17
5219900,5,35.52616,-98.70757
5226414,1,29.31051,-100.41786
5190934,1,45.97469,-94.86558
5290895,1,43.70673,-73.02816
5241770,3,52,-56
5228196,1,-28.03484,151.98058
5389952,3,40.51287,-76.10439
5259357,4,45.91011,-122.44649
5245123,4,48.41648,-71.24884
5205764,22,33.95474,-118.21202
5282700,2,21.16817,79.64885
5209324,2,42.64336,-86.20059
5192688,29,41.39593,-72.89677
5212199,8,28.62778,-81.36312
5255284,19,41.02423,-80.66285
5290545,1,38.89396,-82.57349
5262163,1,34.01434,-86.00639
5505893,1,42.83507,-75.98603
5207427,1,3.18861,-60.61212
5445040,2,42.97286,-71.9798
5279208,3,42.21259,-72.19119
5466131,1,48.38131,-4.61805
5196669,1,40.6701,-75.49546
5210518,18,42.57509,-71.99813
5218625,1,-27.63333,152.7
5294546,1,44.42141,-84.11667
5254909,2,34.54426,-91.96903
5236860,8,50.52858,-3.61186
5225567,1,40.68043,-122.37084
5234340,1,40.98065,-73.68374
5205952,1,37.65055,-121.91789
5561770,1,59.32938,18.06871
5190368,1,42.53113,-88.59955
5489235,1,32.75597,-88.02891
5205584,1,38.95593,-7.82801
5231152,1,47.04833,3.78194
5214325,7,45.71844,-123.93514
5240485,1,31.87155,-90.16453
5197562,3,33.31643,-83.68809
5212502,22,47.59623,-120.66148
5402846,1,35.46756,-97.51643
5488472,3,37.33593,-82.98044
5205213,3,40.35143,-90.32457
5260508,1,-32.77477,26.63376
5190164,1,37.81829,-25.66583
5304046,1,41.17869,-75.7563
5209531,1,-5,-80.33333
5219101,1,45.04677,9.69937
5229930,1,3.08507,101.53281
5270279,1,44.61972,4.39028
5273057,7,49.03309,-118.4356
5236016,3,40.72093,-73.26734
5394386,2,35.14953,-90.04898
5210317,19,34.15917,-118.50119
5289440,1,38.25445,-104.60914
5229857,4,43.61062,-73.17983
5278774,1,28.88331,-97.71305
5236593,5,37.81194,-107.66451
5210924,1,45.95778,1.4
5193932,22,47.03426,-122.82319
5189765,52,29.88327,-97.94139
5243916,1,48.49028,5.9775
5373908,7,42.93112,-82.66437
5250882,1,39.42778,-97.00196
5272701,1,25.33446,55.50852
5269835,2,5.51801,-73.37831
5195528,24,-37.81306,144.94422
5233652,4,30.78492,-83.55988
5248224,2,33.29482,-104.45052
5233040,3,35.642,-97.74643
5216277,3,35.99258,-94.568
5223163,30,52.57364,-0.24777
5201062,63,27.9378,-82.28592
5222774,1,14.8,-88.16667
5221367,7,40.67649,-74.2907
5226864,22,39.00622,-77.4286
5234351,4,40.64451,-80.41618
5204587,30,41.52448,-90.51569
5508972,1,40.2451,-75.59518
5191950,6,40.55451,-81.91792
5401258,1,36.45229,-93.18851
5264112,8,35.70652,-81.21869
5220598,2,46.92572,-117.68298
5199704,26,40.90089,-80.85675
5211195,2,40.24337,-88.64257
6104134,1,40.53698,-89.35759
5522119,1,-26.2417,151.94047
5196542,9,31.34455,-109.54534
5233203,1,51.51667,-3.7
5269457,7,41.01899,-73.79819
5284572,1,49.4541,11.0768
5371335,4,8.9936,-79.51973
5295935,2,41.63314,-75.47046
5396396,4,52.21833,6.89583
5195611,72,35.23338,-106.66447
5243370,1,58.71261,13.8413
5220567,23,30.73629,76.7884
5246258,1,3.8077,103.326
5282909,24,39.62928,-75.65826
5203656,2,50.53235,8.66929
5275098,2,39.72705,-76.32663
5232395,1,51.94924,-0.28496
5267580,1,27.96585,-82.8001
5190345,16,41.28346,-70.09946
5239310,1,28,-15.5
5216936,1,38.14235,-76.50745
5221130,4,44.57266,-116.67599
5267398,3,44.13358,-89.52318
5213532,3,33.37067,-96.06886
5475613,1,37.27008,-76.01649
5211550,26,41.31366,-81.72457
5294586,4,37.57351,29.07058
5268843,1,29.68051,-97.6475
5225813,4,50.79102,4.36016
5208069,3,40.902,-80.95509
5253109,1,45.75,126.65
5201894,5,-22.87768,-48.51789
5196133,1,45.67151,-122.66288
5191553,24,39.32924,-82.10126
5191316,20,38.95922,-85.89025
5385574,5,40.93677,-72.24286
5225872,6,30.97797,-96.67386
5188189,18,33.49567,-88.42726
5198079,107,44.63651,-123.10593
5198567,2,37.88409,-121.27106
5293331,3,39.55231,-79.79784
5243439,2,60.66455,17.07016
5191789,4,40.13509,-76.85969
5204090,1,53.30182,-1.12404
5251336,20,40.03371,-76.50441
5250263,4,34.27399,-92.09098
5225650,1,-30.98125,152.82507
5503392,1,42.32226,-83.17631
5239030,24,33.9164,-118.35257
5205289,6,33.75566,-96.53666
5291777,1,50.54944,-4.14418
5294320,7,33.30428,-96.98612
5210123,5,30.34965,-97.37027
5245273,9,41.85505,-84.35384
5191933,15,41.03916,-96.36835
5539575,1,47.53333,21.9
5229785,2,45.98333,16.88333
5260586,1,55.99089,-3.39847
5263454,1,36.14893,-97.3781
5225353,13,52.83333,-9
5264951,1,33.11633,71.09354
5249131,1,44.70664,7.60403
5301247,3,40.11392,-87.87309
5373375,9,45.62163,-94.20694
5271152,1,16.93694,-91.81694
5487220,1,48.89643,2.0904
5203686,31,35.75118,-86.93
5264823,2,47.3445,-1.5283
5262469,3,40.95732,-73.96347
5240711,4,45.78578,-92.38103
5190741,5,42.63701,-76.17882
5283842,1,42.23417,-71.37534
5252217,3,43.89554,-103.41825
5196773,2,43.25474,-86.10978
5206284,2,35.08398,-92.20793
5264077,1,42.09869,-75.91797
5192065,1,52.90103,0.62553
5216783,1,-17.13886,145.20849
5222304,11,40.25452,-79.16753
5376019,1,35.74291,-81.51343
5290337,4,40.66593,-73.48818
5207993,1,32.71571,-117.16472
5210809,1,50.16389,1.76297
5216511,14,42.21393,-83.19381
5229382,4,46.88529,-103.19962
5299320,1,49.74747,13.37759
